barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins
20,15,Malokiat,University of the Philippines - Diliman,204.96,171.8
20,16,Malokiat,University of the Philippines - Manila,206.58,175.4
20,17,Malokiat,Univeristy of the Philippines - Open University,204.38,170.3
20,18,Malokiat,Polytechnic University of the Philippines - Manila,205.48,171.7
20,19,Malokiat,Lyceum-Northwestern University,24.83,40.7
20,20,Malokiat,Pangasinan Polytechnic College,40.12,62.9
21,1,Manaol,University of Eastern Pangasinan,12.76,16.3
21,2,Manaol,Urdaneta City University,22.13,24.1
21,3,Manaol,Pangasinan State University - Urdaneta City,19.77,21.5
21,4,Manaol,Pangasinan State University - Asingan,28.12,31.4
21,5,Manaol,DMMMSU – South La Union Campus (SLUC),36.18,44.1
21,6,Manaol,DMMMSU – Mid La Union Campus (MLUC),67.96,88.2
21,7,Manaol,Benguet State University - La Trinidad,69.71,97.7
21,8,Manaol,Central Luzon State University,93.68,87.5
21,9,Manaol,Tarlac State University - Tarlac,83.37,71.7
21,10,Manaol,Pangasinan State University - Lingayen,41.94,65.5
21,11,Manaol,Pangasinan State University - Bayambang,51.19,63.9
21,12,Manaol,Saint Louis University - Baguio,65.41,89.4
21,13,Manaol,University of the Philippines - Baguio,46.11,57.3
21,14,Manaol,University of Pangasinan - PHINMA,24.98,39.3
21,15,Manaol,University of the Philippines - Diliman,203.96,169.8
21,16,Manaol,University of the Philippines - Manila,205.58,173.5
21,17,Manaol,Univeristy of the Philippines - Open University,203.38,168.4
21,18,Manaol,Polytechnic University of the Philippines - Manila,204.47,169.8
21,19,Manaol,Lyceum-Northwestern University,26.91,43.5
21,20,Manaol,Pangasinan Polytechnic College,42.2,65.7
22,1,Nama,University of Eastern Pangasinan,12.1,15.5
22,2,Nama,Urdaneta City University,23.64,22.8
22,3,Nama,Pangasinan State University - Urdaneta City,21.28,20.2
22,4,Nama,Pangasinan State University - Asingan,29.63,30.1
22,5,Nama,DMMMSU – South La Union Campus (SLUC),34.84,42.1
22,6,Nama,DMMMSU – Mid La Union Campus (MLUC),66.62,86.2
22,7,Nama,Benguet State University - La Trinidad,68.37,95.7
22,8,Nama,Central Luzon State University,92.34,85.5
22,9,Nama,Tarlac State University - Tarlac,82.03,69.7
22,10,Nama,Pangasinan State University - Lingayen,45.01,70.2
